3,great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .
3,"the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight ."
3,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances ."
3,"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble ."
3,... a guiltless film for nice evening out .
3,an entertaining documentary that freshly considers arguments the bard 's immortal plays were written by somebody else .
3,"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation ."
3,"an old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts ."
1,"ultimately , the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability ."
1,a minor-league soccer remake of the longest yard .
1,"in old-fashioned screenwriting parlance , ms. shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast ."
1,"green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that ."
1,"a disaster of a drama , saved only by its winged assailants ."
1,"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires ."
1,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ."
1,do n't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .
2,robin williams departs from his fun friendly demeanor in exchange for a darker unnerving role .
2,a sha-na-na sketch punctuated with graphic violence .
2,"if mr. zhang 's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian ."
2,but the execution is a flop with the exception of about six gags that really work .
2,"the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff 's documentary , hell house , reflects their earnestness -- which makes for a terrifying film ."
2,the plot meanders from gripping to plodding and back .
2,i found myself more appreciative of what the director was trying to do than of what he had actually done .
2,the film virtually chokes on its own self-consciousness .
0,a devastating indictment of unbridled greed and materalism .
0,feels strangely hollow at its emotional core .
0,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .
0,"while the story is better-focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle ."
0,"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target ."
0,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be ."
0,and it 's not that funny -- which is just generally insulting .
0,why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?
4,this comic gem is as delightful as it is derivative .
4,"others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison 's iconoclastic uses of technology to be liberating ."
4,moving and vibrant .
4,"( reynolds ) takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch ."
4,brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .
4,a truly wonderful tale combined with stunning animation .
4,"the most wondrous love story in years , it is a great film ."
4,about schmidt is undoubtedly one of the finest films of the year .
